Fz,FC3,FC1,FCZ,FC2,FC4,C5,C3,C1,Cz,C2,C4,C6,CP3,CP1,CPZ,CP2,CP4,P1,Pz,P2,POZ
3.9551,9.7656,8.252,7.3242,2.5391,-0.39063000000000003,8.4961,9.1797,7.959,8.7402,5.2734,2.4414,-0.8300799999999999,9.2773,8.6914,10.693,9.1797,6.7383,5.3223,9.4238,9.1309,7.7148
1.6602,4.7852,4.6387,1.8555,0.5371100000000001,-1.9531,6.1035,4.6387,3.5645,2.3438,1.7578,-0.63477,0.09765599999999999,5.1758,4.8828,4.1016,3.4668,2.6855,1.416,4.5898,4.4922,5.3223
3.7109,9.0332,7.7148,3.6621,2.7832,-0.3418,13.280999999999999,10.205,7.8125,4.3945,3.9551,1.5625,4.834,9.6191,9.4238,6.1035,4.4434,4.6387,4.541,6.3965,6.25,7.372999999999999
0.58594,9.0332,5.3711,4.7852,0.97656,2.9297,10.01,11.425999999999998,5.957000000000001,7.3242,3.5645,5.3711,5.5664,11.914000000000001,9.2285,9.2285,8.2031,9.0332,8.1543,11.035,10.205,12.597999999999999
6.3477,8.3008,10.498,5.957000000000001,5.2246,5.0293,11.719000000000001,11.133,10.498,7.7637,8.4961,9.4727,15.479000000000001,13.574000000000002,14.795,12.549000000000001,11.620999999999999,14.16,13.379000000000001,16.064,15.43,18.652
8.0078,13.085999999999999,11.815999999999999,9.1309,4.248,5.3223,13.477,14.697000000000001,11.475,9.3262,6.8848,8.4473,10.84,17.48,16.016,14.355,12.549000000000001,14.110999999999999,15.674000000000001,17.725,16.504,19.971
5.8105,10.107000000000001,9.8145,5.7129,0.6835899999999999,0.78125,9.082,11.475,8.5938,5.3711,3.3691,5.5176,5.3223,15.674000000000001,12.305,10.254000000000001,8.6426,9.8633,12.744000000000002,13.037,12.207,15.137
0.14648,6.8359,3.6621,1.7578,-4.9805,-2.7832,1.7578,7.0313,1.0742,0.73242,-3.2715,1.2695,-0.8300799999999999,9.0332,4.1992,3.2227,0.048827999999999996,2.2461,3.7598,3.5645,2.9785,5.0781
2.6367,5.9082,4.5898,1.2695,-2.3926,-2.5391,3.6133,5.2734,0.48828,-1.6113,-1.8066,1.0742,2.3438,6.2012,2.9297,-0.97656,0.6835899999999999,3.7598,2.8809,3.6133,4.1504,6.3477
-0.97656,-0.78125,-1.3672,-3.1738,-5.2734,-4.7852,-2.7832,-1.8066,-5.8105,-7.2266,-5.6641,-1.8555,-2.0996,-2.002,-4.7363,-7.5684,-5.5176,-2.0996,-6.0547,-5.3223,-3.7598,-3.3203
5.2734,3.1738,4.6875,2.1484,2.002,-1.416,2.8809,0.63477,-1.1719,-3.5645,-0.29297,-0.3418,0.09765599999999999,0.58594,-1.3184,-5.3223,-2.1973,0.29297,-2.6855,-2.6855,-1.9531,-1.3184
3.1738,2.1973,2.5879,0.19530999999999998,-0.39063000000000003,-3.0762,4.541,1.6602,-1.416,-3.9551,-2.002,-2.3926,-1.0254,1.0254,-0.29297,-5.2246,-2.9785,-1.5137,-2.832,-2.832,-2.4414,-2.6367
2.8809,2.5391,3.0762,0.39063000000000003,-0.97656,-4.541,6.2988,1.9531,-0.8300799999999999,-3.5156,-2.0996,-2.2949,-1.1719,1.5625,0.5371100000000001,-4.3945,-3.3203,-1.6602,-4.4922,-2.9297,-2.4902,-4.9316
-2.002,3.5645,0.58594,1.5137,-4.0527,-2.9785,2.6367,4.1016,-2.6367,-0.73242,-5.6152,-2.002,-5.7617,3.3691,-1.123,-1.8066,-1.9531,-0.9277299999999999,-1.6113,0.48828,0.14648,0.58594
-0.73242,0.48828,1.2207,-0.9277299999999999,-4.4922,-7.2754,5.4199,2.1973,-0.048827999999999996,-3.9551,-4.4434,-6.1523,-4.1016,3.4668,1.709,-2.9297,-3.8574,-2.832,0.63477,0.8789100000000001,-0.29297,2.6367
-1.4648,0.3418,0.73242,-0.78125,-3.9063,-5.8105,7.1289,3.7598,1.123,-1.5137,-1.9531,-2.9785,-0.48828,7.5684,5.0781,1.1719,0.8300799999999999,1.9531,6.7383,7.1777,5.9082,12.305
-10.84,-10.498,-8.9355,-9.3262,-12.597999999999999,-14.550999999999998,-3.4668,-6.3477,-8.0566,-8.9844,-10.352,-10.254000000000001,-9.9121,-1.416,-3.3691,-5.8105,-6.4941,-6.3965,-0.43945,0.24414,-1.3672,5.4688
-5.957000000000001,-7.0801,-5.5664,-4.4922,-8.3008,-10.449000000000002,-0.8789100000000001,-2.1973,-3.9551,-4.2969,-6.1035,-6.7383,-6.8848,2.6367,0.73242,-1.0742,-3.6133,-4.2969,3.9551,3.2227,1.4648,8.7402
-3.7598,-3.418,-2.5391,-0.58594,-4.1504,-6.9824,1.416,0.8789100000000001,0.29297,1.6602,-1.3184,-1.709,-3.1738,5.3223,4.834,3.9551,2.6855,1.9043,7.6172,8.6426,6.8359,12.158
-10.156,-6.542999999999999,-7.959,-5.6641,-10.693,-11.279000000000002,-1.9531,-3.5156,-4.834,-1.9531,-5.3711,-3.7598,-6.4941,0.39063000000000003,-0.14648,1.123,-1.709,-1.0254,-0.29297,2.4414,1.2695,4.3945
-7.5195,-4.5898,-4.3945,-3.8574,-7.372999999999999,-9.0332,-0.29297,-2.7832,-2.4902,-0.9277299999999999,-2.4414,-2.7344,-1.5625,0.39063000000000003,1.123,2.9785,1.5625,2.5879,0.5371100000000001,4.3457,4.0039,4.1992
-2.2949,1.3672,0.78125,1.7578,-2.6855,-2.5879,4.3457,2.9785,2.4902,6.2988,1.7578,4.1504,2.9785,5.5176,5.7129,9.7656,7.5684,8.6426,6.0059,10.742,10.645,9.7656
-1.7578,-3.0762,-0.78125,-0.8300799999999999,-2.9297,-4.1992,4.2969,-0.9277299999999999,1.416,2.1973,2.0996,1.3672,4.6875,3.3203,7.0313,7.5195,5.3223,6.25,4.8828,9.4727,8.7402,9.082
-6.4941,-3.8574,-5.8105,-2.0996,-7.666,-5.0293,-1.0742,-1.3672,-4.2969,-0.09765599999999999,-5.4688,-1.2207,0.0,3.125,1.1719,4.8828,2.832,3.9551,3.8086,8.2031,6.7871,9.7168
-3.8574,-7.959,-4.834,-4.1016,-7.1289,-7.0801,-0.58594,-6.2012,-4.9316,-4.1504,-4.5898,-2.832,4.5898,-0.29297,0.8789100000000001,1.416,0.6835899999999999,3.6133,3.5645,8.1055,7.3242,11.475
-2.8809,-4.4922,-5.8594,-0.29297,-5.5176,-0.8789100000000001,-1.2207,-2.6367,-5.127000000000001,-0.6835899999999999,-3.8574,2.002,5.3223,4.248,0.39063000000000003,4.834,4.5898,7.2754,7.0801,11.475,10.985999999999999,15.722999999999999
-6.3965,-9.1309,-7.4219,-6.3965,-8.6914,-8.0078,-2.0996,-6.7383,-6.8848,-6.8848,-5.8594,-4.6875,-0.048827999999999996,-2.002,-1.3672,-1.7578,-1.123,-0.048827999999999996,0.58594,4.541,3.7109,7.5195
0.9277299999999999,-2.5879,1.2207,3.0273,2.832,1.8555,5.5664,3.2227,3.7598,4.8828,7.1289,6.6406,10.985999999999999,6.3965,8.9844,8.8867,9.9121,9.7656,10.059,13.477,13.135,15.137
-0.78125,-2.832,1.5625,3.0273,3.6621,0.3418,5.8105,4.0039,4.3945,7.4707,9.3262,8.0078,9.0332,6.6406,10.107000000000001,10.254000000000001,12.890999999999998,13.037,11.719000000000001,17.578,16.846,17.969
4.6875,8.6426,8.7891,13.427999999999999,9.4727,8.7891,16.455,16.992,12.890999999999998,18.115,16.211,15.527000000000001,12.597999999999999,20.067999999999998,19.238,22.119,19.922,17.822,21.533,26.709,24.951,28.662
9.7168,13.720999999999998,13.280999999999999,20.313,13.77,13.915999999999999,18.311,21.094,16.992,22.607,18.213,18.604,15.43,24.414,21.875,25.83,23.389,21.68,24.365,29.541,28.223000000000003,33.105
14.697000000000001,18.555,17.92,23.535,16.846,16.504,20.703000000000003,23.291,18.555,25.049,19.922,20.215,15.918,23.389,21.436,25.146,23.241999999999997,20.801,22.266,27.686,25.879,29.101999999999997
14.355,16.504,16.504,20.264,14.062999999999999,11.084000000000001,16.553,17.92,15.869000000000002,19.141,13.965,11.719000000000001,10.302999999999999,17.578,17.285,17.48,14.307,11.815999999999999,14.940999999999999,19.629,17.871,21.386999999999997
18.799,22.363000000000003,21.386999999999997,25.098000000000003,17.92,16.064,17.578,21.338,18.457,22.51,15.479000000000001,13.672,10.84,18.408,18.701,19.678,16.748,12.5,17.236,21.875,19.727,25.635
27.246,27.246,26.758000000000003,30.908,23.633000000000003,22.754,17.09,22.705,21.484,26.074,20.166,17.529,12.5,18.164,19.385,21.826,16.455,12.158,13.477,20.117,16.455,20.361
24.023000000000003,22.51,23.486,28.223000000000003,22.168000000000003,22.559,10.889000000000001,19.482,18.994,23.584,16.699,13.574000000000002,8.3984,14.6,16.602,19.238,14.16,9.2773,11.620999999999999,16.504,11.620999999999999,14.697000000000001
27.588,24.706999999999997,27.686,30.273000000000003,27.246,25.293000000000003,14.99,22.607,23.682,27.051,22.168000000000003,16.942999999999998,12.890999999999998,17.871,22.168000000000003,22.949,17.578,13.280999999999999,15.479000000000001,19.727,15.380999999999998,19.434
28.809,27.686,28.369,33.887,29.736,30.664,13.085999999999999,23.975,24.706999999999997,31.934,25.342,23.34,14.355,18.555,21.729,26.025,20.898000000000003,16.65,14.453,18.848,16.211,19.043
28.271,25.195,29.395,30.322,29.736,27.441,12.695,20.752,24.023000000000003,27.831999999999997,24.511999999999997,20.41,15.332,13.184000000000001,20.117,20.459,17.822,14.99,9.7168,14.110999999999999,12.207,12.597999999999999
25.146,23.34,26.171999999999997,28.516,24.609,22.021,9.2773,17.773,19.727,24.268,19.336,16.016,9.8145,11.572000000000001,15.039000000000001,16.992,10.498,8.252,4.0039,6.9824,5.4688,4.9316
34.473,29.101999999999997,34.912,35.645,34.131,31.201,15.625,20.557,25.293000000000003,27.979,27.734,23.096,21.24,12.939,19.824,20.067999999999998,18.311,17.285,8.3008,12.842,10.84,9.4727
35.84,34.766,36.279,41.602,35.938,37.5,19.482,28.223000000000003,28.711,34.18,30.371,30.664,23.389,24.658,24.854,28.662,24.658,22.9,17.773,21.094,18.604,19.141
35.01,33.008,36.816,39.404,36.768,35.107,22.998,28.76,30.713,32.568000000000005,30.371,27.979,23.34,26.758000000000003,28.467,27.441,22.803,21.68,20.02,22.021,18.506,19.238
35.693000000000005,28.026999999999997,33.984,37.109,37.354,35.84,18.945,23.975,27.686,29.053,29.736,26.611,24.023000000000003,20.508000000000003,25.195,23.241999999999997,22.851999999999997,21.68,16.602,18.945,15.869000000000002,12.988
37.158,27.734,32.91,35.4,35.156,32.813,19.727,22.314,26.855,26.221,27.734,23.389,19.385,19.971,24.365,21.68,18.604,17.041,14.209000000000001,16.504,13.477,11.279000000000002
31.592,24.072,28.76,30.859,29.004,25.146,14.648,19.287,22.314,22.412,21.875,16.846,10.790999999999999,15.527000000000001,19.287,17.676,15.575999999999999,13.623,10.107000000000001,12.061,9.668,7.0313
32.324,27.295,28.955,29.101999999999997,27.1,25.146,16.211,20.313,20.264,20.117,18.848,15.918,10.937999999999999,13.915999999999999,15.674000000000001,14.16,12.450999999999999,11.767999999999999,6.3477,8.7402,7.1289,4.9805
33.984,32.422,30.029,33.691,28.026999999999997,30.615,16.553,24.121,20.215,22.949,21.436,22.119,16.211,16.309,15.332,17.285,14.307,14.014000000000001,6.0547,8.5449,7.7637,3.9551
30.908,27.588,28.857,28.564,28.516,29.199,16.211,20.752,19.189,19.043,20.898000000000003,20.654,17.92,13.915999999999999,14.940999999999999,13.280999999999999,14.307,14.355,6.8848,9.8633,8.7891,6.1523
28.76,24.901999999999997,25.439,25.195,25.732,27.197,18.164,18.701,17.09,14.795,19.727,19.629,18.701,14.062999999999999,14.648,11.572000000000001,12.061,13.915999999999999,8.3496,10.205,9.5215,9.375
21.094,17.236,17.822,18.066,20.02,24.658,13.085999999999999,12.354000000000001,9.5215,8.4961,13.720999999999998,16.406,18.213,10.352,7.8125,7.4707,9.2773,12.305,5.2246,8.4961,9.082,8.9844
14.6,13.33,11.719000000000001,14.745999999999999,13.867,20.02,10.156,10.693,5.127000000000001,6.0547,8.7402,12.988,14.258,9.5215,4.6875,4.7852,6.9336,10.01,4.3945,6.6406,8.252,8.6914
17.529,13.525,14.209000000000001,15.967,16.504,20.947,12.305,11.084000000000001,7.2754,8.2031,11.67,16.211,21.533,10.254000000000001,7.7148,6.9824,7.4219,12.402000000000001,5.5176,7.8125,9.375,9.375
10.449000000000002,5.8594,7.0313,6.4453,9.668,13.135,7.2266,3.0762,-0.24414,0.09765599999999999,4.4434,7.5684,13.623,0.048827999999999996,-0.9277299999999999,-1.3672,1.9043,5.2734,-2.8809,0.09765599999999999,1.3672,-0.39063000000000003
-2.8809,-7.9102,-6.8359,-5.9082,-4.3457,-1.709,-5.6152,-9.9609,-14.110999999999999,-13.33,-8.5449,-6.0059,-1.2695,-13.33,-13.818,-13.965,-12.255999999999998,-8.7402,-18.408,-16.455,-13.280999999999999,-19.189
5.2246,-1.8066,0.58594,2.3926,5.127000000000001,6.6406,2.1484,-3.2715,-5.127000000000001,-5.5176,0.8300799999999999,1.2207,8.6914,-6.6406,-5.8594,-6.8848,-3.7598,0.63477,-11.914000000000001,-9.5703,-5.7617,-12.793
-7.0313,-9.7656,-12.158,-6.3477,-7.372999999999999,-0.8300799999999999,-6.7871,-10.254000000000001,-18.018,-13.867,-11.377,-6.4453,-3.4668,-14.258,-18.799,-15.770999999999999,-14.404000000000002,-10.302999999999999,-22.168000000000003,-20.996,-18.506,-26.221
-6.6895,-11.719000000000001,-12.744000000000002,-6.25,-6.0547,-0.9277299999999999,-8.9355,-11.620999999999999,-18.018,-13.379000000000001,-10.84,-5.6641,-2.1484,-14.110999999999999,-17.334,-14.940999999999999,-14.502,-10.889000000000001,-22.217,-19.531,-17.627,-25.635
-6.2012,-13.037,-11.23,-10.84,-5.957000000000001,-5.2246,-3.125,-12.450999999999999,-16.309,-17.334,-10.352,-9.4727,-1.4648,-16.309,-14.795,-18.164,-12.645999999999999,-8.7402,-18.75,-16.357,-14.453,-20.02
-10.84,-10.302999999999999,-14.453,-10.790999999999999,-12.207,-6.9336,-6.0059,-12.061,-19.141,-16.895,-14.648,-8.7891,-5.127000000000001,-13.085999999999999,-17.48,-16.309,-14.99,-10.01,-18.115,-16.504,-15.575999999999999,-18.701
-8.3008,-6.8848,-11.084000000000001,-7.5195,-9.668,-3.9063,-2.4902,-8.1055,-15.186,-12.255999999999998,-11.328,-4.8828,-1.1719,-7.372999999999999,-13.574000000000002,-9.8145,-9.4238,-4.6875,-11.963,-10.498,-8.6914,-10.742
-7.3242,-8.8379,-11.133,-9.6191,-8.4961,-3.9063,-3.2227,-9.5703,-14.550999999999998,-12.842,-9.5215,-4.1016,0.19530999999999998,-8.7402,-11.377,-10.595999999999998,-8.252,-3.6133,-12.255999999999998,-9.4727,-7.8125,-8.4961
-8.252,-13.33,-13.135,-12.645999999999999,-8.0566,-5.3223,-4.9805,-14.307,-15.332,-15.575999999999999,-9.1309,-5.7617,1.5625,-14.844000000000001,-12.793,-13.720999999999998,-10.302999999999999,-5.7129,-17.188,-13.477,-10.595999999999998,-12.5
-11.035,-12.842,-15.039000000000001,-12.158,-8.4961,-2.7832,-5.9082,-11.815999999999999,-15.43,-13.135,-9.4727,-3.5156,0.5371100000000001,-11.377,-11.914000000000001,-11.328,-7.3242,-2.8809,-14.110999999999999,-9.668,-7.2266,-9.4727
-9.2285,-11.815999999999999,-14.307,-10.595999999999998,-7.372999999999999,0.8300799999999999,-3.0762,-8.3496,-12.842,-11.182,-6.2988,0.43945,4.4922,-7.9102,-9.3262,-7.0801,-4.7852,0.58594,-11.523,-6.8848,-3.5645,-5.957000000000001
-12.744000000000002,-13.232000000000001,-16.406,-13.427999999999999,-10.059,-3.3203,-5.4199,-9.7656,-14.648,-12.988,-9.9609,-4.1016,-3.0273,-8.7891,-10.889000000000001,-7.959,-6.2012,-2.5391,-11.767999999999999,-6.8359,-3.8086,-5.3711
-13.915999999999999,-13.965,-17.285,-15.43,-12.012,-5.0293,-5.5176,-9.1309,-14.940999999999999,-14.355,-11.914000000000001,-6.1035,-5.6641,-8.3984,-11.815999999999999,-10.107000000000001,-7.8613,-5.1758,-13.720999999999998,-9.9609,-7.8125,-9.8145
-14.404000000000002,-13.085999999999999,-14.404000000000002,-14.99,-9.9609,-6.1035,-3.2715,-7.2754,-11.572000000000001,-12.645999999999999,-8.9355,-4.8828,-3.7109,-7.5684,-9.668,-9.0332,-7.2754,-4.0527,-14.209000000000001,-9.375,-6.9824,-11.523
-4.9316,-3.5645,-5.3223,-4.7363,0.5371100000000001,4.0527,3.9551,1.4648,-4.2969,-2.7832,0.97656,4.6387,4.1992,-0.048827999999999996,-1.7578,-1.8555,2.4414,5.2246,-5.8105,-1.5625,-0.5371100000000001,-3.7598
-7.372999999999999,-7.1777,-10.790999999999999,-4.8828,-2.7344,3.418,-2.6855,-2.1484,-9.375,-5.4199,-3.8574,1.6113,-1.2207,-3.5645,-8.1055,-4.248,-5.2246,-2.7344,-11.475,-8.5449,-8.9355,-12.012
-3.4668,-6.542999999999999,-5.1758,-4.1504,2.1484,4.2969,0.97656,-1.5625,-4.1992,-5.3711,1.0742,3.418,5.3223,-3.6621,-2.832,-2.0508,-1.3672,0.58594,-7.5195,-4.9316,-5.4688,-9.2773
-3.5645,-3.2715,-5.957000000000001,-2.0996,1.709,8.0078,0.6835899999999999,1.2695,-4.6387,-1.6113,1.0742,6.6895,6.6895,-0.5371100000000001,-2.3438,0.048827999999999996,0.8300799999999999,2.5879,-4.7852,-2.5879,-3.5156,-5.7617
-3.0273,-4.2969,-4.1992,-4.834,1.6602,2.3438,3.9551,-0.29297,-1.2695,-2.8809,0.73242,1.5625,3.418,-1.2695,0.9277299999999999,-0.24414,-1.8066,-1.2207,-4.1504,-2.2461,-4.3945,-4.1016
-4.7852,-2.1973,-5.2246,-3.2715,-1.0742,2.3926,1.1719,1.6113,-3.1738,-1.0254,-0.78125,1.0742,-1.6602,-0.24414,0.5371100000000001,1.2207,0.73242,0.0,-4.1016,-0.48828,-3.1738,-3.3203
-4.248,-1.5137,-4.1992,-2.4902,-0.8300799999999999,3.1738,0.73242,0.24414,-2.3926,-0.29297,0.78125,2.8809,2.5879,-1.416,0.58594,2.6855,0.63477,0.8300799999999999,-6.2988,-2.7344,-3.7598,-7.8125
-5.5664,0.78125,-3.7598,-0.58594,-2.0508,2.9297,1.8555,3.3203,-1.416,2.6367,-0.78125,2.2461,-3.2715,1.8066,0.14648,4.4922,1.0742,0.09765599999999999,-6.3965,-3.3691,-4.1504,-8.2031
-0.8300799999999999,3.9063,-0.39063000000000003,3.9063,2.832,8.0078,3.7109,5.5176,0.97656,5.4199,4.1992,7.0801,1.4648,3.7598,2.1484,6.7871,5.2734,4.6875,-4.9805,-1.5625,-1.6113,-8.252
-3.3203,-1.1719,-3.8574,-1.6602,-0.78125,0.48828,2.2949,0.0,-3.418,1.0254,-0.19530999999999998,1.709,-1.6113,-3.0273,-2.9297,0.5371100000000001,-1.0254,-0.5371100000000001,-11.279000000000002,-8.4473,-7.4707,-16.016
-4.5898,1.3672,-2.9785,-1.8066,-0.63477,1.9531,4.1504,3.2227,-1.8066,2.1484,0.3418,3.2227,2.3926,-0.43945,-0.63477,1.6602,2.002,3.5645,-6.2988,-3.7598,-3.4668,-8.252
-4.4922,1.0742,-4.1504,-2.8809,-1.1719,3.7598,4.4434,3.5645,-2.3926,1.6602,0.58594,5.7617,6.5918,-0.63477,-1.6602,1.416,1.4648,4.1504,-7.5195,-5.1758,-4.541,-11.182
-3.7109,-0.43945,-1.5137,-2.1973,0.63477,2.6367,6.2988,2.2949,0.5371100000000001,2.2461,3.0273,4.2969,5.8105,0.48828,1.1719,2.0996,4.0527,5.6641,-3.3691,-0.73242,-0.48828,-4.248
-4.4922,-1.0254,-0.29297,-4.4922,-0.29297,-0.048827999999999996,4.834,1.709,1.9043,1.3184,2.7832,2.6367,6.1523,0.97656,3.4668,1.3672,2.9785,4.4922,-2.1484,-0.48828,0.0,-1.9043
-4.4434,2.5391,0.8300799999999999,-1.2207,1.2207,3.9551,5.6641,6.3477,3.6133,6.0547,5.127000000000001,8.3496,7.8125,5.9082,4.9805,5.9082,5.8105,7.1777,-1.0254,0.9277299999999999,1.3672,-4.3457
0.58594,3.5156,5.3711,2.0996,6.7871,6.4941,8.252,6.8848,7.0801,8.9844,9.375,9.1309,8.3008,7.4707,9.0332,7.7148,9.5215,10.547,2.6367,4.834,4.541,0.39063000000000003
4.7852,8.3496,7.1289,8.3008,8.5938,10.498,8.8867,10.937999999999999,8.7891,12.744000000000002,10.937999999999999,13.525,11.523,13.525,10.645,11.328,11.963,13.672,7.2754,8.7402,7.666,4.9316
-2.832,3.8574,0.9277299999999999,1.5137,-0.39063000000000003,0.6835899999999999,4.3945,6.1035,1.5625,4.834,2.3926,5.3711,4.1016,7.5684,2.1484,4.9316,4.2969,6.0059,-0.8789100000000001,-0.8300799999999999,-0.73242,-3.8086
4.4922,10.156,8.6914,7.2266,6.0547,6.25,10.547,11.328,7.5195,8.4473,7.6172,9.5703,9.9609,11.035,7.1777,6.1035,7.4219,8.3984,2.1973,1.1719,1.0254,-2.0996
6.542999999999999,10.205,9.7168,8.8867,8.7402,9.082,11.084000000000001,11.719000000000001,8.1055,9.082,8.5938,8.8867,10.107000000000001,10.107000000000001,7.4707,5.8594,5.0293,4.834,1.416,-0.5371100000000001,-1.9043,-4.7852
3.6621,10.889000000000001,7.5195,7.0313,5.0781,4.2969,7.372999999999999,11.279000000000002,4.541,6.8359,2.8809,3.3691,-1.8066,6.1035,3.418,2.7344,1.2207,-0.6835899999999999,-3.9063,-4.8828,-7.7148,-12.988
7.1777,14.062999999999999,11.719000000000001,8.8379,6.6406,5.2246,9.668,12.109000000000002,7.5195,8.0078,6.0059,3.9551,-0.78125,7.0801,5.0293,2.8809,0.48828,-1.6113,-4.1992,-6.6895,-10.498,-16.162
2.832,10.889000000000001,7.3242,7.4219,1.416,0.9277299999999999,5.8105,9.2773,2.4414,4.248,-1.6113,-2.0996,-9.2773,4.7363,-0.6835899999999999,-0.048827999999999996,-4.541,-6.9824,-6.2988,-9.5215,-13.33,-17.627
9.8633,13.280999999999999,12.354000000000001,11.815999999999999,7.7148,5.2246,10.156,12.207,8.252,8.4961,4.6387,2.5391,-1.2207,8.4473,5.8105,4.3457,1.8555,-0.14648,-0.09765599999999999,-2.7832,-5.5664,-9.8145
2.9785,7.4219,5.3711,7.7637,2.7344,0.39063000000000003,5.2246,7.6172,2.4414,4.9805,0.14648,0.63477,-4.6387,6.1035,1.4648,1.9043,-1.709,-3.3691,-1.9043,-3.9551,-7.2754,-7.7637
8.3008,7.8125,10.790999999999999,8.3008,6.4453,0.8789100000000001,9.7656,8.0566,7.372999999999999,4.9316,4.0039,-0.048827999999999996,-0.48828,6.9824,6.1035,1.6113,2.3438,1.1719,3.7598,2.3926,0.24414,1.5625
14.453,11.914000000000001,16.162,12.695,11.572000000000001,6.1523,11.767999999999999,10.4,11.084000000000001,9.082,8.8867,4.6387,5.6641,10.205,10.352,6.25,7.1289,6.2012,7.6172,6.9824,4.7852,7.5195
16.309,16.699,18.799,16.846,13.867,11.425999999999998,10.059,12.842,11.963,13.623,11.084000000000001,9.2773,7.1777,10.205,8.8867,9.4238,9.7656,9.668,5.5664,7.1777,6.6406,5.0781
18.701,19.287,19.727,18.701,14.892999999999999,14.307,11.475,14.453,11.963,14.648,11.133,10.937999999999999,6.8848,11.133,9.3262,10.645,9.8145,9.2285,5.4688,6.0547,4.834,3.418
